/file/	C:\Users\Федор\Desktop\Ю4-6_ЭН\Ю4-6_РД_ЭН_План наружного освещения.dwg
//HANDLE	NAME_BLOCK	NAME_INSIDE	LAYER	POINT	ANGLE	Массштаб	Distance1	Angle1	Position1 X	Position1 Y	H_Text	Angle2	N_PYLON	GROUP	POWER	TYPE	NAME	MANUFACTURER	SPECIFICATION_SECTION
A479A	опора_промежуточная 0.4	*U108	ЭО_Пл_Опора	(1.03214e+008 1.04981e+008 0.0)	0	1:500	625.0	3.14159	1069.52	-2909.32	1500.0	0.100158	N2_59				опора		
A1D55	опора_промежуточная 0.4	*U382	ЭО_Пл_Опора	(1.03332e+008 1.04803e+008 0.0)	0	1:500	625.0	3.14159	2010.22	-1245.83	1500.0	0.100158	N1_26				опора		
9E812	опора_промежуточная 0.4	*U104	ЭО_Пл_Опора	(1.03501e+008 1.04752e+008 0.0)	0	1:500	625.0	3.14159	1017.76	601.86	1500.0	0.100158	N1_69				опора		
9E743	опора_промежуточная 0.4	*U103	ЭО_Пл_Опора	(1.03486e+008 1.04792e+008 0.0)	0	1:500	625.0	3.14159	401.136	581.092	1500.0	0.100158	N1_67				опора		
7FE4C	опора_промежуточная 0.4	*U111	ЭО_Пл_Опора	(1.0334e+008 1.04978e+008 0.0)	0	1:500	625.0	3.14159	941.34	258.188	1500.0	0.100158	N1_14				опора		
7FDBA	опора_промежуточная 0.4	*U94	ЭО_Пл_Опора	(1.03316e+008 1.04978e+008 0.0)	0	1:500	625.0	3.14159	883.695	725.69	1500.0	0.100158	N1_13				опора		
615BB	опора_промежуточная 0.4	*U69	ЭО_Пл_Опора	(1.03214e+008 1.04958e+008 0.0)	0	1:500	625.0	3.14159	4040.89	-757.708	1500.0	0.100158	N2_60				опора		
413F5	опора_промежуточная 0.4	*U109	ЭО_Пл_Опора	(1.03258e+008 1.05089e+008 0.0)	0	1:500	625.0	3.14159	1412.66	-991.567	1500.0	0.100158	N2_51				опора		
38A76	опора_промежуточная 0.4	*U188	ЭО_Пл_Опора	(1.03206e+008 1.04939e+008 0.0)	0	1:500	625.0	3.14159	457.071	-2450.65	1500.0	0.100158	N2_61				опора		
38A5C	опора_промежуточная 0.4	*U70	ЭО_Пл_Опора	(1.03187e+008 1.04962e+008 0.0)	0	1:500	625.0	3.14159	821.678	1027.61	1500.0	0.100158	N2_62				опора		
