/file/	C:\Users\Федор\Desktop\Ю4-6_ЭН\Пример плана Ю4-6_Э1.dwg
//HANDLE	NAME_BLOCK	NAME_INSIDE	LAYER	POINT	ANGLE	Массштаб	Distance1	Angle1	Position1 X	Position1 Y	H_Text	Angle2	N_PYLON	GROUP	POWER	TYPE	NAME	MANUFACTURER	SPECIFICATION_SECTION
EE0F4	ЭО_Опора_1_свет	*U283	ЭО_Пл_Светильники	(1.03399e+008 1.04928e+008 0.0)	0	1:500	625.0	5.12419	1500.0	400.259	-916.402	2205.96	-1562.16					Светотехническое оборудование	40Вт
EE09A	ЭО_Опора_1_свет	*U282	ЭО_Пл_Светильники	(1.03401e+008 1.04922e+008 0.0)	0	1:500	625.0	2.08451	1500.0	-491.419	870.923	570.599	1181.81					Светотехническое оборудование	40Вт
EDFF7	ЭО_Опора_1_свет	*U280	ЭО_Пл_Светильники	(1.03422e+008 1.04852e+008 -570.131)	0	1:500	625.0	0.226774	1500.0	974.397	224.835	1334.87	1791.36					Светотехническое оборудование	40Вт
EDF83	ЭО_Опора_1_свет	*U279	ЭО_Пл_Светильники	(1.03414e+008 1.04857e+008 0.0)	0	1:500	625.0	1.30322	1500.0	264.396	964.414	-5274.26	-945.335					Светотехническое оборудование	40Вт
EDEE0	ЭО_Опора_1_свет	*U277	ЭО_Пл_Светильники	(1.03421e+008 1.04865e+008 0.0)	0	1:500	625.0	4.02655	1500.0	-633.323	-773.888	-2683.09	1770.21					Светотехническое оборудование	40Вт
EDE79	ЭО_Опора_1_свет	*U276	ЭО_Пл_Светильники	(1.0341e+008 1.04865e+008 0.0)	0	1:500	625.0	6.23123	1500.0	998.651	-51.9277	-1654.17	2045.74					Светотехническое оборудование	40Вт
EDDEB	ЭО_Опора_1_свет	*U275	ЭО_Пл_Светильники	(1.03397e+008 1.04868e+008 0.0)	0	1:500	625.0	1.49059	1500.0	80.1234	996.785	-2174.75	-4060.05					Светотехническое оборудование	40Вт
EDD91	ЭО_Опора_1_свет	*U274	ЭО_Пл_Светильники	(1.03397e+008 1.04868e+008 0.0)	0	1:500	625.0	4.60228	1500.0	-109.89	-993.944	-2103.89	3629.52					Светотехническое оборудование	40Вт
EDD37	ЭО_Опора_1_свет	*U273	ЭО_Пл_Светильники	(1.03394e+008 1.04831e+008 0.0)	0	1:500	625.0	2.94774	1500.0	-981.27	192.638	201.839	2367.88					Светотехническое оборудование	40Вт
EDCD0	ЭО_Опора_1_свет	*U272	ЭО_Пл_Светильники	(1.03367e+008 1.04841e+008 0.0)	0	1:500	625.0	5.50417	1500.0	711.608	-702.577	-428.258	-3718.24					Светотехническое оборудование	40Вт
EDC76	ЭО_Опора_1_свет	*U271	ЭО_Пл_Светильники	(1.03383e+008 1.04849e+008 0.0)	0	1:500	625.0	4.60228	1500.0	-109.89	-993.944	-2620.78	-4171.12					Светотехническое оборудование	40Вт
EDABA	ЭО_Опора_1_свет	*U266	ЭО_Пл_Светильники	(1.03377e+008 1.04834e+008 0.0)	0	1:500	625.0	4.57698	1500.0	-135.0	-990.846	-1569.1	-4131.85					Светотехническое оборудование	40Вт
EDA60	ЭО_Опора_1_свет	*U265	ЭО_Пл_Светильники	(1.03374e+008 1.04819e+008 0.0)	0	1:500	625.0	1.40387	1500.0	166.155	986.1	201.839	2367.88					Светотехническое оборудование	40Вт
EDA44	ЭО_Опора_1_свет	*U267	ЭО_Пл_Светильники	(1.03377e+008 1.04834e+008 0.0)	0	1:500	625.0	1.40117	1500.0	168.812	985.648	201.839	2367.88					Светотехническое оборудование	40Вт
EDA28	ЭО_Опора_1_свет	*U270	ЭО_Пл_Светильники	(1.0336e+008 1.04827e+008 0.0)	0	1:500	625.0	0.567059	1500.0	843.484	537.154	2722.18	-473.41					Светотехническое оборудование	40Вт
EDA0C	ЭО_Опора_1_свет	*U268	ЭО_Пл_Светильники	(1.03352e+008 1.04828e+008 0.0)	0	1:500	625.0	5.74699	1500.0	859.661	-510.865	201.839	2367.88					Светотехническое оборудование	40Вт
ED9F0	ЭО_Опора_1_свет	*U269	ЭО_Пл_Светильники	(1.03345e+008 1.04816e+008 0.0)	0	1:500	625.0	3.05972	1500.0	-996.65	81.7823	-5097.6	2367.88					Светотехническое оборудование	40Вт
ED8C8	ЭО_Опора_1_свет	*U261	ЭО_Пл_Светильники	(1.03344e+008 1.04802e+008 0.0)	0	1:500	625.0	0.567059	1500.0	843.484	537.154	201.839	2367.88					Светотехническое оборудование	40Вт
